START_DATE,START_HOUR,START_MINUTE,END_DATE,END_HOUR,END_MINUTE,MONTH,YEAR,CATEGORY*,START*,STOP*,MILES*,PURPOSE*,DURATION,SPEED
2016-01-01,21,11,2016-01-01,21,17,1,2016,Business,Fort Pierce,Fort Pierce,8.207633999999999,Meal/Entertain,6,82.07633999999999
2016-01-02,1,25,2016-01-02,1,37,1,2016,Business,Fort Pierce,Fort Pierce,8.0467,Meal/Entertain,12,40.23349999999999
2016-01-02,20,25,2016-01-02,20,38,1,2016,Business,Fort Pierce,Fort Pierce,7.724831999999999,Errand/Supplies,13,35.653070769230766
2016-01-05,17,31,2016-01-05,17,45,1,2016,Business,Fort Pierce,Fort Pierce,7.563898,Meeting,14,32.41670571428571
2016-01-06,14,42,2016-01-06,15,49,1,2016,Business,Fort Pierce,West Palm Beach,102.51495800000001,Customer Visit,67,91.80444
2016-01-06,17,15,2016-01-06,17,19,1,2016,Business,West Palm Beach,West Palm Beach,6.9201619999999995,Meal/Entertain,4,103.80242999999999
2016-01-06,17,30,2016-01-06,17,35,1,2016,Business,West Palm Beach,Palm Beach,11.426314,Meeting,5,137.115768
2016-01-07,13,27,2016-01-07,13,33,1,2016,Business,Cary,Cary,1.2874720000000002,Meeting,6,12.874720000000002
2016-01-10,8,5,2016-01-10,8,25,1,2016,Business,Cary,Morrisville,13.357522000000001,Meeting,20,40.07256600000001
2016-01-10,12,17,2016-01-10,12,44,1,2016,Business,Jamaica,New York,26.55411,Customer Visit,27,59.00913333333334
2016-01-10,15,8,2016-01-10,15,51,1,2016,Business,New York,Queens,17.380872,Meeting,43,24.252379534883723
2016-01-10,18,18,2016-01-10,18,53,1,2016,Business,Elmhurst,New York,12.07005,Meeting,35,20.691514285714284
2016-01-10,19,12,2016-01-10,19,32,1,2016,Business,Midtown,East Harlem,9.977908000000001,Meeting,20,29.933724000000005
2016-01-11,8,55,2016-01-11,9,21,1,2016,Business,East Harlem,NoMad,10.299776000000001,Temporary Site,26,23.768713846153847
2016-01-11,11,56,2016-01-11,12,3,1,2016,Business,Flatiron District,Midtown,2.5749440000000003,Errand/Supplies,7,22.070948571428573
2016-01-11,13,32,2016-01-11,13,46,1,2016,Business,Midtown,Midtown East,2.735878,Meal/Entertain,14,11.725191428571428
2016-01-11,14,30,2016-01-11,14,43,1,2016,Business,Midtown East,Midtown,3.057746,Meal/Entertain,13,14.112673846153845
2016-01-12,12,33,2016-01-12,12,49,1,2016,Business,Midtown,Hudson Square,3.057746,Meal/Entertain,16,11.466547499999999
2016-01-12,12,53,2016-01-12,13,9,1,2016,Business,Hudson Square,Lower Manhattan,6.43736,Meal/Entertain,16,24.1401
2016-01-12,14,42,2016-01-12,14,56,1,2016,Business,Lower Manhattan,Hudson Square,2.896812,Errand/Supplies,14,12.414908571428573
2016-01-12,15,13,2016-01-12,15,28,1,2016,Business,Hudson Square,Hell's Kitchen,3.8624159999999996,Customer Visit,15,15.449663999999999
2016-01-12,15,42,2016-01-12,15,54,1,2016,Business,Hell's Kitchen,Midtown,3.21868,Errand/Supplies,12,16.0934
